time,x,y,button,pressed,abnormal
1734362706.3323817,1761,17,Button.left,True,False
1734362706.3957443,1761,17,Button.left,False,False
1734362707.684246,915,23,Button.left,True,False
1734362707.7316537,915,23,Button.left,False,False
1734362708.3800752,618,28,Button.left,True,False
1734362708.436089,616,26,Button.left,False,False
1734362709.1477578,373,19,Button.left,True,False
1734362709.1959608,373,19,Button.left,False,False
1734362711.2680788,217,554,Button.left,True,False
1734362711.3475788,217,554,Button.left,False,False
1734362728.7795908,1299,1051,Button.left,True,False
1734362728.859596,1299,1051,Button.left,False,False
1734362737.196419,1776,10,Button.left,True,False
1734362737.3005133,1776,10,Button.left,False,False
1734362738.1795855,1502,333,Button.left,True,False
1734362738.2680886,1503,333,Button.left,False,False
1734362738.7641215,256,0,Button.left,True,False
1734362738.8524516,256,0,Button.left,False,False
1734362739.8201165,318,23,Button.left,True,False
1734362739.8843539,318,23,Button.left,False,False
1734362740.4855826,138,131,Button.left,True,False
1734362740.5633829,138,131,Button.left,False,False
1734362748.4520445,1834,176,Button.left,True,False
1734362748.5404446,1834,176,Button.left,False,False
1734362749.308453,1713,374,Button.left,True,False
1734362749.3883996,1713,374,Button.left,False,False
1734362750.3563247,1574,576,Button.left,True,False
1734362750.4191074,1575,576,Button.left,False,False
1734362758.6326065,377,26,Button.left,True,False
1734362758.7310534,377,26,Button.left,False,False
1734362768.7161407,412,702,Button.left,True,False
1734362768.7832644,412,702,Button.left,False,False
1734362771.6830509,899,517,Button.left,True,False
1734362771.7474985,899,517,Button.left,False,False
1734362775.7002275,1001,452,Button.left,True,False
1734362775.7809134,1001,452,Button.left,False,False
1734362777.06086,358,525,Button.left,True,False
1734362777.130348,356,522,Button.left,False,False
1734362777.235987,348,505,Button.left,True,False
1734362777.2954042,348,503,Button.left,False,False
1734362777.491985,287,485,Button.left,True,False
1734362777.579427,284,481,Button.left,False,False
1734362777.7081547,211,454,Button.left,True,False
1734362777.7961912,209,454,Button.left,False,False
1734362777.9208524,221,546,Button.left,True,False
1734362778.0200627,223,547,Button.left,False,False
1734362778.130727,280,606,Button.left,True,False
1734362778.2285852,283,607,Button.left,False,False
1734362778.3311565,374,582,Button.left,True,False
1734362778.4206853,376,575,Button.left,False,False
1734362778.539987,395,519,Button.left,True,False
1734362778.6282334,397,497,Button.left,False,False
1734362778.7495515,397,464,Button.left,True,False
1734362778.8439083,392,459,Button.left,False,False
1734362778.9715269,345,456,Button.left,True,False
1734362779.068415,333,470,Button.left,False,False
1734362779.1805968,316,495,Button.left,True,False
1734362779.2637365,315,499,Button.left,False,False
1734362779.38064,297,533,Button.left,True,False
1734362779.476129,297,546,Button.left,False,False
1734362779.5806484,295,579,Button.left,True,False
1734362779.6766608,295,584,Button.left,False,False
1734362779.788346,302,630,Button.left,True,False
1734362779.8849857,302,630,Button.left,False,False
1734362780.0126033,251,586,Button.left,True,False
1734362780.1080818,240,581,Button.left,False,False
1734362780.2110345,195,541,Button.left,True,False
1734362780.3091774,195,537,Button.left,False,False
1734362780.4263325,216,502,Button.left,True,False
1734362780.5405889,250,476,Button.left,False,False
1734362780.650802,286,467,Button.left,True,False
1734362780.771839,299,467,Button.left,False,False
1734362780.8759983,339,482,Button.left,True,False
1734362781.0011733,344,490,Button.left,False,False
1734362781.108604,349,513,Button.left,True,False
1734362781.2111373,349,521,Button.left,False,False
1734362781.3310797,347,567,Button.left,True,False
1734362781.4272058,343,574,Button.left,False,False
1734362781.530919,303,602,Button.left,True,False
1734362781.628086,300,605,Button.left,False,False
1734362781.7409658,264,590,Button.left,True,False
1734362781.8308127,251,583,Button.left,False,False
1734362781.9574375,227,547,Button.left,True,False
1734362782.05107,227,538,Button.left,False,False
1734362782.1885166,229,486,Button.left,True,False
1734362782.2816193,229,476,Button.left,False,False
1734362782.3961408,280,441,Button.left,True,False
1734362782.4961536,286,438,Button.left,False,False
1734362782.6113923,312,434,Button.left,True,False
1734362782.7418492,323,464,Button.left,False,False
1734362782.8608117,292,490,Button.left,True,False
1734362782.9631062,278,508,Button.left,False,False
1734362783.0589294,260,536,Button.left,True,False
1734362783.1561334,260,550,Button.left,False,False
1734362783.2683988,239,573,Button.left,True,False
1734362783.363945,222,572,Button.left,False,False
1734362783.4745011,188,535,Button.left,True,False
1734362783.5608943,188,530,Button.left,False,False
1734362783.6806827,198,492,Button.left,True,False
1734362783.7727046,201,488,Button.left,False,False
1734362783.891908,231,458,Button.left,True,False
1734362784.012126,253,452,Button.left,False,False
1734362784.1070013,294,449,Button.left,True,False
1734362784.203999,304,454,Button.left,False,False
1734362784.3086405,340,483,Button.left,True,False
1734362784.4205875,343,497,Button.left,False,False
1734362784.5243752,347,523,Button.left,True,False
1734362784.6365354,347,531,Button.left,False,False
1734362784.7481627,317,558,Button.left,True,False
1734362784.844376,311,564,Button.left,False,False
1734362784.9407356,280,599,Button.left,True,False
1734362785.0764246,275,614,Button.left,False,False
1734362785.1722393,302,636,Button.left,True,False
1734362785.2713184,305,639,Button.left,False,False
1734362785.3911836,323,627,Button.left,True,False
1734362785.4919474,349,613,Button.left,False,False
1734362785.5964,395,588,Button.left,True,False
1734362785.6911557,400,570,Button.left,False,False
1734362785.819583,420,510,Button.left,True,False
1734362785.9246151,422,500,Button.left,False,False
1734362786.0413074,419,442,Button.left,True,False
1734362786.1487186,419,441,Button.left,False,False
1734362786.2525322,367,433,Button.left,True,False
1734362786.3607128,354,437,Button.left,False,False
1734362786.467772,301,462,Button.left,True,False
1734362786.5706997,278,494,Button.left,False,False
1734362786.684292,255,538,Button.left,True,False
1734362786.8036458,255,543,Button.left,False,False
1734362786.9054706,251,540,Button.left,True,False
1734362787.0207593,255,495,Button.left,False,False
1734362787.121129,270,454,Button.left,True,False
1734362787.218901,278,446,Button.left,False,False
1734362787.3306425,325,411,Button.left,True,False
1734362787.436175,328,410,Button.left,False,False
1734362787.5563831,315,464,Button.left,True,False
1734362787.66815,309,481,Button.left,False,False
1734362787.7721515,286,517,Button.left,True,False
1734362787.8841488,282,523,Button.left,False,False
1734362787.9878216,271,537,Button.left,True,False
1734362788.0842853,270,539,Button.left,False,False
1734362788.5805893,1721,446,Button.left,True,False
1734362788.6516287,1721,446,Button.left,False,False
1734362789.1793804,1699,447,Button.left,True,False
1734362789.2411716,1699,447,Button.left,False,False
1734362790.90398,667,20,Button.left,True,False
1734362790.9641352,667,20,Button.left,False,False
1734362791.314914,533,16,Button.left,True,False
1734362791.3881457,533,16,Button.left,False,False
1734362792.0507436,839,0,Button.left,True,False
1734362792.1242507,839,0,Button.left,False,False
1734362792.6006851,615,123,Button.left,True,False
1734362792.67061,615,123,Button.left,False,False
1734362794.3240807,589,533,Button.left,True,False
1734362794.3797135,589,533,Button.left,False,False
1734362796.0112312,220,568,Button.left,True,False
1734362796.0841403,220,568,Button.left,False,False
1734362799.099895,1916,270,Button.left,True,False
1734362802.6124783,1890,431,Button.left,False,False
1734362818.238226,1100,268,Button.left,True,False
1734362818.3235195,1100,268,Button.left,False,False
1734362819.7157514,525,551,Button.left,True,False
1734362819.7961416,525,551,Button.left,False,False
1734362820.4691138,228,455,Button.left,True,False
1734362820.5511549,228,455,Button.left,False,False
1734362822.7158277,1030,563,Button.left,True,False
1734362822.8042164,1030,563,Button.left,False,False
1734362826.131829,26,59,Button.left,True,False
1734362826.2265208,26,59,Button.left,False,False
1734362830.9005172,453,0,Button.left,True,False
1734362830.9774306,453,0,Button.left,False,False
1734362831.4919827,348,546,Button.left,True,False
1734362831.5724804,348,546,Button.left,False,False
1734362831.6602855,348,546,Button.left,True,False
1734362831.7240427,348,546,Button.left,False,False
1734362831.8107693,348,546,Button.left,True,False
1734362831.893642,348,546,Button.left,False,False
1734362831.972528,348,546,Button.left,True,False
1734362832.0597901,348,546,Button.left,False,False
1734362832.1322525,348,546,Button.left,True,False
1734362832.3327,348,546,Button.left,False,False
1734362832.4447045,340,535,Button.left,True,False
1734362832.5453725,338,526,Button.left,False,False
1734362832.6521978,319,475,Button.left,True,False
1734362832.7483716,319,474,Button.left,False,False
1734362832.8514507,282,486,Button.left,True,False
1734362832.964402,276,536,Button.left,False,False
1734362833.0444732,276,543,Button.left,True,False
1734362833.1513212,277,567,Button.left,False,False
1734362833.2445056,278,575,Button.left,True,False
1734362833.3167353,280,577,Button.left,False,False
1734362833.4038568,284,578,Button.left,True,False
1734362833.4921691,285,578,Button.left,False,False
1734362833.5885231,292,565,Button.left,True,False
1734362833.6923878,292,563,Button.left,False,False
1734362833.7885392,292,538,Button.left,True,False
1734362833.9001963,292,538,Button.left,False,False
1734362834.012575,289,517,Button.left,True,False
1734362834.1242738,289,517,Button.left,False,False
1734362834.2117665,290,514,Button.left,True,False
1734362834.3161776,290,514,Button.left,False,False
1734362834.4017985,290,513,Button.left,True,False
1734362834.476547,290,513,Button.left,False,False
